Place,Time,Marking
IDLE(0),16.4,14
SENDING PACKET(1),16.42,48
LOOP(Q16),16.42,2
IDLE(0),16.42,15
SENDING ACK(1),16.47,4
PACKET CHECK(1),16.47,2
IDLE(0),16.49,16
SENDING PACKET(0),16.52,46
LOOP(Q11),16.52,7
SENDING PACKET(0),16.52,47
IDLE(0),16.52,15
SENDING PACKET(0),16.58,48
IDLE(0),16.58,14
SENDING PACKET(0),16.7,49
IDLE(0),16.7,13
IDLE(0),16.71,14
ACK CHECK(1),16.72,16
LOOP(Q18),16.72,1
SENDING ACK(1),16.72,3
IDLE(0),16.88,15
SENDING ACK(0),16.94,1
PACKET CHECK(0),16.94,20
ACK CHECK(0),17.01,1
LOOP(Q13),17.01,1
SENDING ACK(0),17.01,0
ACK CHECK(1),17.15,17
LOOP(Q18),17.15,2
SENDING ACK(1),17.15,2
SENDING ACK(0),17.21,1
PACKET CHECK(0),17.21,19
SENDING ACK(0),17.25,2
PACKET CHECK(0),17.25,18
SENDING PACKET(0),17.29,50
LOOP(Q13),17.29,0
PACKET CHECK(1),17.32,3
LOOP(Q16),17.32,3
SENDING PACKET(1),17.32,47
SENDING PACKET(0),17.37,51
LOOP(Q11),17.37,6
PACKET CHECK(0),17.41,19
LOOP(Q11),17.41,7
SENDING PACKET(0),17.41,50
SENDING ACK(0),17.45,3
PACKET CHECK(0),17.45,18
SENDING ACK(0),17.48,4
PACKET CHECK(0),17.48,17
ACK CHECK(0),17.49,2
LOOP(Q13),17.49,1
SENDING ACK(0),17.49,3
ACK CHECK(1),17.51,18
LOOP(Q18),17.51,3
SENDING ACK(1),17.51,1
SENDING PACKET(1),17.67,48
LOOP(Q16),17.67,2
SENDING ACK(1),17.68,2
PACKET CHECK(1),17.68,2
PACKET CHECK(1),17.69,3
LOOP(Q16),17.69,3
SENDING PACKET(1),17.69,47
PACKET CHECK(0),17.75,18
LOOP(Q11),17.75,8
SENDING PACKET(0),17.75,49
SENDING PACKET(0),17.76,50
LOOP(Q11),17.76,7
PACKET CHECK(1),17.86,4
LOOP(Q16),17.86,4
SENDING PACKET(1),17.86,46
SENDING PACKET(0),17.88,51
LOOP(Q13),17.88,0
PACKET CHECK(1),17.91,5
LOOP(Q16),17.91,5
SENDING PACKET(1),17.91,45
SENDING ACK(1),17.94,3
PACKET CHECK(1),17.94,4
ACK CHECK(1),17.96,19
LOOP(Q18),17.96,4
SENDING ACK(1),17.96,2
ACK CHECK(0),18.02,3
LOOP(Q13),18.02,1
SENDING ACK(0),18.02,2
SENDING ACK(1),18.06,3
PACKET CHECK(1),18.06,3
SENDING PACKET(0),18.07,52
IDLE(0),18.07,14
SENDING PACKET(0),18.07,53
IDLE(0),18.07,13
SENDING ACK(0),18.09,3
PACKET CHECK(0),18.09,17
SENDING PACKET(0),18.09,54
LOOP(Q11),18.09,6
SENDING PACKET(0),18.1,55
IDLE(0),18.1,12
SENDING ACK(1),18.1,4
PACKET CHECK(1),18.1,2
IDLE(0),18.12,13
PACKET CHECK(0),18.13,18
LOOP(Q11),18.13,7
SENDING PACKET(0),18.13,54
PACKET CHECK(0),18.13,19
LOOP(Q11),18.13,8
SENDING PACKET(0),18.13,53
SENDING PACKET(0),18.13,54
